t	w	alpha
0.338	10.21513743	4.822782963
0.339	10.21709891	4.841171979
0.34	10.21903632	4.859564504
0.341	10.22094996	4.877960495
0.342	10.22284012	4.89635991
0.343	10.22470709	4.914762706
0.344	10.22655115	4.933168842
0.345	10.22837259	4.951578276
0.346	10.23017168	4.96999097
0.347	10.23194869	4.988406881
0.348	10.2337039	5.006825972
0.349	10.23543757	5.025248202
0.35	10.23714997	5.043673534
0.351	10.23884136	5.06210193
0.352	10.240512	5.080533351
0.353	10.24216214	5.09896776
0.354	10.24379203	5.117405122
0.355	10.24540192	5.1358454
0.356	10.24699206	5.154288557
0.357	10.24856269	5.172734559
0.358	10.25011405	5.191183371
0.359	10.25164638	5.209634958
0.36	10.2531599	5.228089287
0.361	10.25465485	5.246546323
0.362	10.25613146	5.265006033
0.363	10.25758995	5.283468385
0.364	10.25903055	5.301933346
0.365	10.26045347	5.320400885
0.366	10.26185893	5.338870968
0.367	10.26324714	5.357343566
0.368	10.26461833	5.375818648
0.369	10.26597269	5.394296182
0.37	10.26731043	5.41277614
0.371	10.26863176	5.43125849
0.372	10.26993687	5.449743204
0.373	10.27122597	5.468230253
0.374	10.27249926	5.486719608
0.375	10.27375692	5.505211241
0.376	10.27499915	5.523705124
0.377	10.27622614	5.542201229
0.378	10.27743807	5.560699529
0.379	10.27863514	5.579199997
0.38	10.27981751	5.597702606
0.381	10.28098538	5.616207331
0.382	10.28213892	5.634714145
0.383	10.28327831	5.653223023
0.384	10.28440371	5.671733939
0.385	10.28551531	5.690246868
0.386	10.28661327	5.708761786
0.387	10.28769775	5.727278667
0.388	10.28876893	5.745797489
0.389	10.28982697	5.764318228
0.39	10.29087203	5.782840859
0.391	10.29190426	5.801365359
0.392	10.29292382	5.819891706
0.393	10.29393088	5.838419878
0.394	10.29492558	5.85694985
0.395	10.29590808	5.875481602
0.396	10.29687852	5.894015112
0.397	10.29783705	5.912550358
0.398	10.29878383	5.931087318
0.399	10.29971898	5.949625973
0.4	10.30064266	5.9681663
0.401	10.30155501	5.986708279
0.402	10.30245617	6.005251891
0.403	10.30334626	6.023797115
0.404	10.30422544	6.042343931
0.405	10.30509383	6.06089232
0.406	10.30595156	6.079442262
0.407	10.30679877	6.097993739
0.408	10.30763559	6.116546732
0.409	10.30846213	6.135101221
0.41	10.30927854	6.153657189
0.411	10.31008493	6.172214618
0.412	10.31088142	6.190773489
0.413	10.31166814	6.209333785
0.414	10.31244521	6.227895489
0.415	10.31321274	6.246458582
0.416	10.31397086	6.265023049
0.417	10.31471967	6.283588872
0.418	10.3154593	6.302156034
0.419	10.31618985	6.32072452
0.42	10.31691144	6.339294312
0.421	10.31762417	6.357865395
0.422	10.31832816	6.376437754
0.423	10.31902351	6.395011372
0.424	10.31971033	6.413586233
0.425	10.32038873	6.432162324
0.426	10.32105879	6.450739628
0.427	10.32172064	6.46931813
0.428	10.32237437	6.487897817
0.429	10.32302007	6.506478673
0.43	10.32365786	6.525060685
0.431	10.32428781	6.543643837
0.432	10.32491004	6.562228116
0.433	10.32552463	6.580813509
0.434	10.32613169	6.5994
0.435	10.32673129	6.617987578
0.436	10.32732354	6.636576229
0.437	10.32790852	6.655165938
0.438	10.32848632	6.673756695
0.439	10.32905703	6.692348485
0.44	10.32962074	6.710941296
0.441	10.33017753	6.729535115
0.442	10.3307275	6.748129931
0.443	10.33127071	6.76672573
0.444	10.33180726	6.785322502
0.445	10.33233723	6.803920233
0.446	10.33286069	6.822518912
0.447	10.33337773	6.841118527
0.448	10.33388843	6.859719068
0.449	10.33439286	6.878320522
0.45	10.3348911	6.896922878
0.451	10.33538322	6.915526126
0.452	10.33586931	6.934130254
0.453	10.33634944	6.952735252
0.454	10.33682367	6.971341109
0.455	10.33729209	6.989947814
0.456	10.33775476	7.008555357
0.457	10.33821175	7.027163727
0.458	10.33866313	7.045772916
0.459	10.33910898	7.064382911
0.46	10.33954935	7.082993705
0.461	10.33998432	7.101605286
0.462	10.34041396	7.120217645
0.463	10.34083832	7.138830773
0.464	10.34125748	7.15744466
0.465	10.34167149	7.176059297
0.466	10.34208042	7.194674674
0.467	10.34248434	7.213290783
0.468	10.3428833	7.231907615
0.469	10.34327737	7.25052516
0.47	10.3436666	7.26914341
0.471	10.34405105	7.287762357
0.472	10.34443079	7.306381991
0.473	10.34480586	7.325002305
0.474	10.34517634	7.34362329
0.475	10.34554227	7.362244937
0.476	10.34590371	7.380867239
0.477	10.34626072	7.399490188
0.478	10.34661334	7.418113775
0.479	10.34696164	7.436737993
0.48	10.34730566	7.455362834
0.481	10.34764547	7.473988291
0.482	10.3479811	7.492614355
0.483	10.34831262	7.51124102
0.484	10.34864007	7.529868278
0.485	10.3489635	7.548496122
0.486	10.34928296	7.567124545
0.487	10.3495985	7.585753539
0.488	10.34991017	7.604383097
0.489	10.35021802	7.623013213
0.49	10.35052209	7.64164388
0.491	10.35082243	7.66027509
0.492	10.35111908	7.678906838
0.493	10.35141209	7.697539117
0.494	10.35170151	7.716171919
0.495	10.35198738	7.73480524
0.496	10.35226974	7.753439072
0.497	10.35254864	7.772073409
0.498	10.35282411	7.790708245
0.499	10.3530962	7.809343574
0.5	10.35336496	7.827979389
0.501	10.35363041	7.846615686
0.502	10.35389261	7.865252457
0.503	10.3541516	7.883889697
0.504	10.3544074	7.902527401
0.505	10.35466007	7.921165562
0.506	10.35490964	7.939804175
0.507	10.35515614	7.958443235
0.508	10.35539962	7.977082735
0.509	10.35564011	7.995722671
0.51	10.35587765	8.014363038
0.511	10.35611228	8.033003829
0.512	10.35634403	8.05164504
0.513	10.35657293	8.070286666
0.514	10.35679903	8.088928701
0.515	10.35702235	8.107571141
0.516	10.35724293	8.12621398
0.517	10.35746081	8.144857214
0.518	10.35767601	8.163500837
0.519	10.35788857	8.182144846
0.52	10.35809853	8.200789235
0.521	10.3583059	8.219433999
0.522	10.35851074	8.238079134
0.523	10.35871306	8.256724636
0.524	10.35891289	8.2753705
0.525	10.35911028	8.294016721
0.526	10.35930524	8.312663295
0.527	10.35949781	8.331310219
0.528	10.35968802	8.349957486
0.529	10.3598759	8.368605094
0.53	10.36006147	8.387253038
0.531	10.36024476	8.405901314
0.532	10.3604258	8.424549918
0.533	10.36060463	8.443198846
0.534	10.36078125	8.461848093
0.535	10.36095572	8.480497657
0.536	10.36112804	8.499147532
0.537	10.36129824	8.517797716
0.538	10.36146636	8.536448205
0.539	10.36163241	8.555098994
0.54	10.36179643	8.57375008
0.541	10.36195844	8.59240146
0.542	10.36211845	8.611053129
0.543	10.36227651	8.629705085
0.544	10.36243262	8.648357324
0.545	10.36258682	8.667009842
0.546	10.36273913	8.685662635
0.547	10.36288957	8.704315701
0.548	10.36303816	8.722969036
0.549	10.36318493	8.741622638
0.55	10.3633299	8.760276501
0.551	10.36347309	8.778930624
0.552	10.36361452	8.797585003
0.553	10.36375422	8.816239635
0.554	10.3638922	8.834894517
0.555	10.36402849	8.853549646
0.556	10.36416311	8.872205019
0.557	10.36429607	8.890860632
0.558	10.36442741	8.909516484
0.559	10.36455713	8.92817257
0.56	10.36468526	8.946828889
0.561	10.36481182	8.965485436
0.562	10.36493683	8.98414221
0.563	10.3650603	9.002799208
0.564	10.36518226	9.021456426
0.565	10.36530272	9.040113863
0.566	10.36542171	9.058771515
0.567	10.36553923	9.07742938
0.568	10.36565531	9.096087456
0.569	10.36576997	9.114745739
0.57	10.36588322	9.133404227
0.571	10.36599508	9.152062917
0.572	10.36610557	9.170721808
0.573	10.3662147	9.189380897
0.574	10.3663225	9.20804018
0.575	10.36642897	9.226699657
0.576	10.36653413	9.245359324
0.577	10.36663801	9.264019179
0.578	10.36674061	9.28267922
0.579	10.36684195	9.301339444
0.58	10.36694204	9.31999985
0.581	10.36704091	9.338660435
0.582	10.36713857	9.357321197
0.583	10.36723503	9.375982133
0.584	10.3673303	9.394643242
0.585	10.36742441	9.413304521
0.586	10.36751736	9.431965969
0.587	10.36760917	9.450627583
0.588	10.36769985	9.469289361
0.589	10.36778942	9.487951302
0.59	10.3678779	9.506613403
0.591	10.36796528	9.525275662
0.592	10.3680516	9.543938077
0.593	10.36813685	9.562600647
0.594	10.36822106	9.581263369
0.595	10.36830424	9.599926242
0.596	10.36838639	9.618589264
0.597	10.36846754	9.637252432
0.598	10.36854769	9.655915746
0.599	10.36862686	9.674579204
0.6	10.36870506	9.693242802
