t	alpha1	alpha2	alpha3	alpha4
0.443	6.937594277	6.254723934	5.571853591	4.206112905
0.444	6.957056019	6.272336483	5.587616948	4.218177876
0.445	6.976518579	6.289949786	5.603380993	4.230243406
0.446	6.995981946	6.307563832	5.619145717	4.242309488
0.447	7.015446109	6.32517861	5.634911111	4.254376114
0.448	7.034911057	6.342794112	5.650677167	4.266443277
0.449	7.054376779	6.360410327	5.666443874	4.278510969
0.45	7.073843267	6.378027246	5.682211226	4.290579184
0.451	7.093310508	6.39564486	5.697979212	4.302647915
0.452	7.112778494	6.413263159	5.713747824	4.314717155
0.453	7.132247214	6.430882135	5.729517055	4.326786896
0.454	7.151716659	6.448501777	5.745286896	4.338857133
0.455	7.171186818	6.466122078	5.761057339	4.350927859
0.456	7.190657683	6.483743029	5.776828375	4.362999067
0.457	7.210129244	6.50136462	5.792599997	4.375070751
0.458	7.229601491	6.518986844	5.808372197	4.387142904
0.459	7.249074416	6.536609692	5.824144968	4.39921552
0.46	7.268548009	6.554233155	5.839918301	4.411288593
0.461	7.288022262	6.571857226	5.85569219	4.423362118
0.462	7.307497166	6.589481896	5.871466626	4.435436087
0.463	7.326972712	6.607107158	5.887241603	4.447510495
0.464	7.346448891	6.624733003	5.903017114	4.459585336
0.465	7.365925696	6.642359423	5.91879315	4.471660605
0.466	7.385403117	6.659986412	5.934569706	4.483736295
0.467	7.404881147	6.677613961	5.950346774	4.495812402
0.468	7.424359777	6.695242063	5.966124348	4.507888918
0.469	7.443839	6.71287071	5.98190242	4.51996584
0.47	7.463318807	6.730499896	5.997680985	4.532043162
0.471	7.482799191	6.748129613	6.013460034	4.544120878
0.472	7.502280144	6.765759854	6.029239563	4.556198982
0.473	7.521761659	6.783390612	6.045019565	4.568277471
0.474	7.541243727	6.80102188	6.060800033	4.580356339
0.475	7.560726343	6.818653652	6.076580961	4.59243558
0.476	7.580209497	6.83628592	6.092362343	4.60451519
0.477	7.599693184	6.853918679	6.108144173	4.616595163
0.478	7.619177395	6.87155192	6.123926446	4.628675496
0.479	7.638662125	6.889185639	6.139709154	4.640756183
0.48	7.658147366	6.906819829	6.155492292	4.652837219
0.481	7.677633111	6.924454483	6.171275855	4.6649186
0.482	7.697119353	6.942089595	6.187059837	4.677000321
