t	w1	w2	w3	w4
0.264	9.620986334	8.701781474	7.782576614	5.944166893
0.265	9.625628127	8.706056174	7.78648422	5.947340313
0.266	9.630208049	8.710273895	7.790339742	5.950471434
0.267	9.634726925	8.714435399	7.794143872	5.953560819
0.268	9.639185569	8.718541433	7.797897297	5.956609026
0.269	9.643584782	8.722592737	7.801600693	5.959616603
0.27	9.647925358	8.726590041	7.805254725	5.962584092
0.271	9.652208078	8.730534065	7.808860052	5.965512026
0.272	9.656433713	8.734425518	7.812417323	5.968400934
0.273	9.660603023	8.738265101	7.815927179	5.971251335
0.274	9.664716761	8.742053506	7.819390252	5.974063743
0.275	9.668775666	8.745791415	7.822807165	5.976838663
0.276	9.67278047	8.749479501	7.826178533	5.979576597
0.277	9.676731892	8.753118428	7.829504964	5.982278036
0.278	9.680630646	8.756708852	7.832787057	5.984943468
0.279	9.684477433	8.760251418	7.836025402	5.987573371
0.28	9.688272946	8.763746764	7.839220583	5.99016822
0.281	9.692017868	8.767195521	7.842373175	5.992728483
0.282	9.695712873	8.770598309	7.845483746	5.995254619
0.283	9.699358627	8.773955741	7.848552855	5.997747084
0.284	9.702955786	8.777268421	7.851581056	6.000206326
0.285	9.706504999	8.780536946	7.854568894	6.002632789
0.286	9.710006903	8.783761905	7.857516906	6.00502691
0.287	9.71346213	8.786943877	7.860425624	6.007389119
0.288	9.716871302	8.790083437	7.863295572	6.009719841
0.289	9.720235033	8.793181149	7.866127265	6.012019498
0.29	9.723553928	8.796237571	7.868921215	6.014288501
0.291	9.726828585	8.799253254	7.871677923	6.016527261
0.292	9.730059594	8.802228741	7.874397887	6.018736181
0.293	9.733247536	8.805164566	7.877081597	6.020915657
0.294	9.736392986	8.80806126	7.879729534	6.023066083
0.295	9.73949651	8.810919344	7.882342178	6.025187845
0.296	9.742558666	8.813739331	7.884919996	6.027281326
0.297	9.745580007	8.816521731	7.887463455	6.029346903
0.298	9.748561076	8.819267044	7.889973012	6.031384948
0.299	9.75150241	8.821975764	7.892449119	6.033395827
0.3	9.754404538	8.824648379	7.894892221	6.035379903
0.301	9.757267984	8.827285371	7.897302759	6.037337534
0.302	9.760093262	8.829887214	7.899681166	6.03926907
0.303	9.762880882	8.832454376	7.902027871	6.041174861
0.304	9.765631345	8.834987321	7.904343297	6.043055249
0.305	9.768345147	8.837486504	7.90662786	6.044910574
0.306	9.771022776	8.839952374	7.908881972	6.046741168
0.307	9.773664715	8.842385377	7.911106039	6.048547363
0.308	9.77627144	8.84478595	7.913300461	6.050329482
0.309	9.778843419	8.847154526	7.915465633	6.052087847
0.31	9.781381115	8.84949153	7.917601945	6.053822775
0.311	9.783884987	8.851797384	7.919709782	6.055534578
0.312	9.786355484	8.854072504	7.921789524	6.057223564
0.313	9.788793051	8.856317297	7.923841544	6.058890037
0.314	9.791198128	8.85853217	7.925866213	6.060534297
0.315	9.793571147	8.860717521	7.927863894	6.062156641
0.316	9.795912536	8.862873742	7.929834948	6.063757361
0.317	9.798222716	8.865001223	7.93177973	6.065336744
0.318	9.800502104	8.867100347	7.93369859	6.066895076
0.319	9.802751109	8.869171491	7.935591873	6.068432636
0.32	9.804970137	8.871215029	7.93745992	6.069949703
0.321	9.807159588	8.873231328	7.939303068	6.071446547
0.322	9.809319855	8.875220751	7.941121648	6.072923441
0.323	9.811451327	8.877183657	7.942915988	6.074380648
0.324	9.813554389	8.8791204	7.944686411	6.075818433
0.325	9.815629419	8.881031327	7.946433236	6.077237052
0.326	9.81767679	8.882916783	7.948156777	6.078636763
0.327	9.819696872	8.884777108	7.949857345	6.080017817
0.328	9.821690028	8.886612637	7.951535245	6.081380463
0.329	9.823656617	8.888423699	7.953190781	6.082724946
0.33	9.825596993	8.890210622	7.95482425	6.084051508
