t	I1	I2	I3	I4	i5
0.319	4.811345948	4.837296987	4.884758467	4.954636798	5.272357746
0.32	4.811094748	4.836620769	4.883456523	4.952575625	5.267846811
0.321	4.81084911	4.835956811	4.882174578	4.950541926	5.263378956
0.322	4.81060891	4.83530489	4.880912325	4.948535334	5.258953767
0.323	4.810374028	4.83466479	4.87966946	4.946555488	5.254570838
0.324	4.810144347	4.834036295	4.878445686	4.944602031	5.250229766
0.325	4.809919751	4.833419195	4.877240711	4.942674613	5.24593015
0.326	4.809700127	4.832813284	4.876054245	4.940772885	5.241671595
0.327	4.809485366	4.832218358	4.874886003	4.938896506	5.237453708
0.328	4.809275359	4.831634218	4.873735707	4.937045137	5.233276101
0.329	4.809070002	4.831060669	4.872603079	4.935218446	5.229138389
0.33	4.808869192	4.830497519	4.87148785	4.933416102	5.225040192
0.331	4.808672828	4.82994458	4.870389751	4.931637782	5.220981132
0.332	4.808480811	4.829401665	4.86930852	4.929883166	5.216960836
0.333	4.808293045	4.828868594	4.868243897	4.928151937	5.212978932
0.334	4.808109437	4.828345188	4.867195628	4.926443784	5.209035055
0.335	4.807929894	4.827831271	4.86616346	4.924758399	5.205128842
0.336	4.807754326	4.827326672	4.865147147	4.923095479	5.201259932
0.337	4.807582644	4.826831222	4.864146446	4.921454724	5.197427969
0.338	4.807414764	4.826344755	4.863161116	4.919835839	5.193632601
0.339	4.807250601	4.825867107	4.862190921	4.918238532	5.189873478
0.34	4.807090072	4.82539812	4.861235629	4.916662516	5.186150254
0.341	4.806933098	4.824937636	4.860295011	4.915107507	5.182462586
0.342	4.806779599	4.8244855	4.859368841	4.913573225	5.178810135
0.343	4.806629498	4.824041562	4.858456898	4.912059393	5.175192564
0.344	4.806482721	4.823605673	4.857558963	4.910565739	5.17160954
0.345	4.806339193	4.823177687	4.856674821	4.909091995	5.168060734
0.346	4.806198843	4.822757461	4.85580426	4.907637894	5.164545818
0.347	4.8060616	4.822344853	4.854947071	4.906203175	5.161064469
0.348	4.805927396	4.821939727	4.854103049	4.90478758	5.157616366
0.349	4.805796163	4.821541945	4.853271992	4.903390853	5.154201192
0.35	4.805667836	4.821151376	4.8524537	4.902012744	5.150818632
0.351	4.80554235	4.820767888	4.851647978	4.900653003	5.147468375
0.352	4.805419642	4.820391353	4.850854632	4.899311387	5.144150112
0.353	4.805299651	4.820021644	4.850073473	4.897987653	5.140863539
0.354	4.805182316	4.819658639	4.849304313	4.896681563	5.137608351
0.355	4.80506758	4.819302215	4.848546967	4.895392883	5.13438425
0.356	4.804955383	4.818952254	4.847801255	4.894121379	5.131190939
0.357	4.804845671	4.818608637	4.847066997	4.892866824	5.128028123
0.358	4.804738387	4.818271251	4.846344018	4.89162899	5.124895511
0.359	4.804633479	4.817939981	4.845632145	4.890407656	5.121792815
0.36	4.804530894	4.817614718	4.844931206	4.889202601	5.11871975
0.361	4.80443058	4.817295351	4.844241034	4.888013609	5.115676032
0.362	4.804332486	4.816981776	4.843561464	4.886840464	5.112661381
0.363	4.804236565	4.816673885	4.842892332	4.885682957	5.109675519
0.364	4.804142767	4.816371577	4.842233479	4.884540878	5.106718171
0.365	4.804051046	4.81607475	4.841584746	4.883414022	5.103789066
0.366	4.803961356	4.815783304	4.840945978	4.882302186	5.100887933
0.367	4.803873651	4.815497142	4.840317022	4.88120517	5.098014506
0.368	4.803787888	4.815216169	4.839697727	4.880122776	5.095168519
0.369	4.803704024	4.81494029	4.839087944	4.87905481	5.092349711
0.37	4.803622017	4.814669413	4.838487529	4.878001079	5.089557822
0.371	4.803541826	4.814403447	4.837896336	4.876961393	5.086792595
0.372	4.803463409	4.814142304	4.837314224	4.875935565	5.084053776
0.373	4.803386729	4.813885894	4.836741054	4.87492341	5.081341112
0.374	4.803311747	4.813634134	4.836176688	4.873924747	5.078654353
0.375	4.803238425	4.813386939	4.835620991	4.872939394	5.075993252
0.376	4.803166726	4.813144225	4.83507383	4.871967176	5.073357565
0.377	4.803096614	4.812905912	4.834535074	4.871007917	5.070747048
0.378	4.803028055	4.812671919	4.834004593	4.870061443	5.06816146
0.379	4.802961014	4.812442169	4.833482261	4.869127586	5.065600565
0.38	4.802895457	4.812216584	4.832967952	4.868206175	5.063064126
0.381	4.802831351	4.81199509	4.832461544	4.867297047	5.060551909
0.382	4.802768665	4.811777611	4.831962914	4.866400036	5.058063684
0.383	4.802707367	4.811564075	4.831471943	4.865514982	5.05559922
0.384	4.802647426	4.811354411	4.830988514	4.864641725	5.053158292
0.385	4.802588811	4.811148549	4.830512511	4.863780107	5.050740675
0.386	4.802531495	4.810946418	4.830043819	4.862929974	5.048346145
0.387	4.802475448	4.810747953	4.829582327	4.862091173	5.045974482
0.388	4.802420641	4.810553085	4.829127924	4.861263552	5.043625469
0.389	4.802367048	4.810361751	4.8286805	4.860446962	5.041298888
0.39	4.802314641	4.810173886	4.82823995	4.859641257	5.038994525
0.391	4.802263395	4.809989427	4.827806166	4.858846291	5.036712169
0.392	4.802213283	4.809808312	4.827379046	4.858061922	5.034451609
0.393	4.802164281	4.809630481	4.826958486	4.857288007	5.032212637
0.394	4.802116364	4.809455874	4.826544387	4.856524408	5.029995047
0.395	4.802069508	4.809284433	4.826136648	4.855770987	5.027798634
0.396	4.802023689	4.8091161	4.825735173	4.855027609	5.025623197
0.397	4.801978884	4.808950819	4.825339864	4.854294139	5.023468534
0.398	4.801935071	4.808788535	4.824950628	4.853570446	5.021334449
0.399	4.801892229	4.808629194	4.82456737	4.852856399	5.019220743
0.4	4.801850335	4.808472741	4.82419	4.852151869	5.017127223
0.401	4.801809368	4.808319124	4.823818426	4.85145673	5.015053696
0.402	4.801769309	4.808168293	4.82345256	4.850770857	5.012999971
0.403	4.801730136	4.808020197	4.823092314	4.850094126	5.010965858
0.404	4.801691831	4.807874786	4.822737601	4.849426415	5.008951171
0.405	4.801654374	4.807732011	4.822388337	4.848767604	5.006955723
0.406	4.801617746	4.807591824	4.822044438	4.848117575	5.004979332
0.407	4.801581929	4.80745418	4.821705822	4.84747621	5.003021815
0.408	4.801546905	4.807319031	4.821372406	4.846843394	5.001082992
0.409	4.801512656	4.807186332	4.821044113	4.846219012	4.999162684
0.41	4.801479166	4.807056039	4.820720862	4.845602953	4.997260715
0.411	4.801446417	4.806928108	4.820402576	4.844995106	4.99537691
0.412	4.801414394	4.806802497	4.82008918	4.84439536	4.993511094
0.413	4.801383079	4.806679164	4.819780597	4.843803609	4.991663097
0.414	4.801352457	4.806558066	4.819476755	4.843219745	4.989832748
0.415	4.801322514	4.806439164	4.819177579	4.842643664	4.988019878
0.416	4.801293233	4.806322418	4.818883	4.842075261	4.986224321
0.417	4.801264601	4.806207788	4.818592945	4.841514435	4.984445911
0.418	4.801236603	4.806095237	4.818307345	4.840961084	4.982684485
0.419	4.801209224	4.805984727	4.818026133	4.840415108	4.98093988
0.42	4.801182452	4.80587622	4.81774924	4.83987641	4.979211935
0.421	4.801156273	4.80576968	4.8174766	4.839344893	4.977500492
0.422	4.801130673	4.805665072	4.817208149	4.83882046	4.975805393
0.423	4.801105639	4.805562361	4.816943821	4.838303017	4.974126483
0.424	4.801081161	4.805461511	4.816683553	4.837792471	4.972463605
0.425	4.801057224	4.805362491	4.816427283	4.837288731	4.970816607
0.426	4.801033817	4.805265265	4.816174949	4.836791705	4.969185339
0.427	4.801010928	4.805169803	4.815926492	4.836301304	4.967569648
0.428	4.800988546	4.805076071	4.815681851	4.835817439	4.965969387
0.429	4.800966659	4.804984038	4.815440968	4.835340024	4.964384408
0.43	4.800945258	4.804893675	4.815203785	4.834868972	4.962814566
0.431	4.80092433	4.804804949	4.814970245	4.834404199	4.961259715
0.432	4.800903865	4.804717832	4.814740292	4.833945622	4.959719713
0.433	4.800883853	4.804632295	4.814513872	4.833493156	4.958194417
0.434	4.800864285	4.804548308	4.81429093	4.833046722	4.956683688
0.435	4.800845149	4.804465845	4.814071412	4.832606238	4.955187386
0.436	4.800826438	4.804384876	4.813855266	4.832171625	4.953705373
0.437	4.80080814	4.804305375	4.813642441	4.831742806	4.952237514
0.438	4.800790248	4.804227316	4.813432884	4.831319702	4.950783672
0.439	4.800772752	4.804150672	4.813226546	4.830902238	4.949343714
0.44	4.800755643	4.804075418	4.813023378	4.830490338	4.947917508
0.441	4.800738913	4.804001528	4.812823331	4.830083928	4.946504921
0.442	4.800722554	4.803928978	4.812626356	4.829682936	4.945105825
0.443	4.800706556	4.803857743	4.812432408	4.829287288	4.943720089
