t	I1	I2	I3	I4
0.415	2.764430289	2.452509494	2.404867217	2.400100757
0.416	2.761353119	2.451809589	2.404773231	2.400097833
0.417	2.758301932	2.451119012	2.404681061	2.400094993
0.418	2.755276508	2.45043764	2.40459067	2.400092235
0.419	2.752276631	2.449765351	2.404502024	2.400089558
0.42	2.749302083	2.449102022	2.404415091	2.400086958
0.421	2.746352653	2.448447535	2.404329836	2.400084434
0.422	2.743428126	2.447801772	2.404246227	2.400081983
0.423	2.740528294	2.447164616	2.404164233	2.400079603
0.424	2.737652947	2.446535953	2.404083822	2.400077292
0.425	2.734801879	2.44591567	2.404004964	2.400075049
0.426	2.731974885	2.445303654	2.403927628	2.40007287
0.427	2.729171761	2.444699796	2.403851786	2.400070755
0.428	2.726392306	2.444103987	2.403777408	2.400068701
0.429	2.723636321	2.443516119	2.403704467	2.400066707
0.43	2.720903606	2.442936088	2.403632934	2.400064771
0.431	2.718193966	2.442363787	2.403562782	2.40006289
0.432	2.715507205	2.441799115	2.403493985	2.400061065
0.433	2.712843131	2.441241969	2.403426517	2.400059292
0.434	2.710201552	2.44069225	2.403360351	2.400057571
0.435	2.707582277	2.440149858	2.403295463	2.4000559
0.436	2.704985119	2.439614696	2.403231828	2.400054277
0.437	2.702409892	2.439086666	2.403169421	2.400052702
0.438	2.699856408	2.438565675	2.40310822	2.400051172
0.439	2.697324486	2.438051629	2.403048201	2.400049686
0.44	2.694813943	2.437544434	2.40298934	2.400048244
0.441	2.692324598	2.437043999	2.402931616	2.400046844
0.442	2.689856273	2.436550235	2.402875007	2.400045484
0.443	2.687408789	2.436063053	2.402819491	2.400044164
0.444	2.684981972	2.435582364	2.402765047	2.400042882
0.445	2.682575646	2.435108082	2.402711654	2.400041637
0.446	2.680189639	2.434640122	2.402659292	2.400040428
0.447	2.677823779	2.4341784	2.402607941	2.400039255
0.448	2.675477895	2.433722831	2.402557582	2.400038115
0.449	2.67315182	2.433273336	2.402508196	2.400037009
0.45	2.670845385	2.432829831	2.402459763	2.400035935
0.451	2.668558426	2.432392238	2.402412265	2.400034891
0.452	2.666290777	2.431960478	2.402365684	2.400033879
0.453	2.664042275	2.431534473	2.402320003	2.400032895
0.454	2.66181276	2.431114146	2.402275204	2.40003194
0.455	2.65960207	2.430699422	2.40223127	2.400031013
0.456	2.657410047	2.430290225	2.402188184	2.400030113
0.457	2.655236532	2.429886483	2.402145931	2.400029239
0.458	2.65308137	2.429488122	2.402104493	2.40002839
0.459	2.650944406	2.429095072	2.402063855	2.400027566
0.46	2.648825486	2.42870726	2.402024002	2.400026766
0.461	2.646724458	2.428324617	2.401984919	2.400025989
0.462	2.64464117	2.427947075	2.401946591	2.400025234
0.463	2.642575474	2.427574565	2.401909002	2.400024502
0.464	2.640527219	2.42720702	2.401872139	2.400023791
0.465	2.63849626	2.426844374	2.401835989	2.4000231
0.466	2.636482449	2.426486562	2.401800536	2.40002243
0.467	2.634485643	2.42613352	2.401765768	2.400021778
0.468	2.632505697	2.425785183	2.401731671	2.400021146
0.469	2.63054247	2.425441489	2.401698232	2.400020532
0.47	2.628595819	2.425102376	2.40166544	2.400019936
0.471	2.626665606	2.424767783	2.40163328	2.400019358
0.472	2.624751691	2.42443765	2.401601742	2.400018796
0.473	2.622853936	2.424111918	2.401570812	2.40001825
0.474	2.620972206	2.423790527	2.40154048	2.40001772
0.475	2.619106365	2.42347342	2.401510733	2.400017206
0.476	2.617256278	2.42316054	2.401481561	2.400016707
0.477	2.615421814	2.42285183	2.401452952	2.400016222
0.478	2.613602839	2.422547236	2.401424896	2.400015751
0.479	2.611799223	2.422246701	2.401397381	2.400015294
0.48	2.610010836	2.421950172	2.401370398	2.40001485
0.481	2.608237551	2.421657595	2.401343936	2.400014419
0.482	2.606479238	2.421368918	2.401317985	2.400014
0.483	2.604735772	2.421084089	2.401292534	2.400013594
0.484	2.603007028	2.420803057	2.401267576	2.400013199
0.485	2.601292881	2.42052577	2.401243099	2.400012816
0.486	2.599593207	2.42025218	2.401219095	2.400012444
0.487	2.597907886	2.419982236	2.401195554	2.400012083
0.488	2.596236795	2.41971589	2.401172468	2.400011732
0.489	2.594579814	2.419453095	2.401149828	2.400011391
0.49	2.592936824	2.419193802	2.401127625	2.400011061
0.491	2.591307708	2.418937965	2.40110585	2.40001074
0.492	2.589692347	2.418685539	2.401084497	2.400010428
0.493	2.588090626	2.418436477	2.401063555	2.400010125
