t	I1	I2	I3	I4
0.243	1.886749193	0.627156127	0.162810898	0.018243577
0.244	1.870817894	0.618796685	0.159667034	0.017714004
0.245	1.855021114	0.610548667	0.156583877	0.017199803
0.246	1.83935772	0.602410588	0.153560256	0.016700529
0.247	1.823826583	0.594380982	0.150595021	0.016215747
0.248	1.808426589	0.586458404	0.147687044	0.015745037
0.249	1.793156628	0.578641427	0.14483522	0.015287992
0.25	1.778015604	0.570928644	0.142038464	0.014844213
0.251	1.763002427	0.563318665	0.139295714	0.014413316
0.252	1.748116018	0.55581012	0.136605926	0.013994927
0.253	1.733355307	0.548401658	0.133968077	0.013588684
0.254	1.718719232	0.541091944	0.131381165	0.013194232
0.255	1.70420674	0.533879663	0.128844206	0.012811231
0.256	1.68981679	0.526763514	0.126356236	0.012439348
0.257	1.675548344	0.519742218	0.123916308	0.012078259
0.258	1.661400379	0.512814509	0.121523494	0.011727652
0.259	1.647371875	0.505979141	0.119176886	0.011387223
0.26	1.633461826	0.499234882	0.116875591	0.011056675
0.261	1.61966923	0.492580518	0.114618733	0.010735723
0.262	1.605993095	0.486014851	0.112405455	0.010424087
0.263	1.592432439	0.479536699	0.110234916	0.010121497
0.264	1.578986286	0.473144895	0.108106289	0.009827691
0.265	1.565653669	0.466838288	0.106018766	0.009542414
0.266	1.55243363	0.460615742	0.103971553	0.009265417
0.267	1.539325218	0.454476137	0.101963871	0.008996461
0.268	1.526327491	0.448418369	0.099994958	0.008735313
0.269	1.513439514	0.442441344	0.098064064	0.008481745
0.27	1.50066036	0.436543989	0.096170455	0.008235537
0.271	1.487989111	0.43072524	0.094313412	0.007996477
0.272	1.475424854	0.424984049	0.092492228	0.007764356
0.273	1.462966688	0.419319384	0.090706211	0.007538972
0.274	1.450613716	0.413730224	0.088954682	0.007320132
0.275	1.438365049	0.408215562	0.087236975	0.007107643
0.276	1.426219808	0.402774406	0.085552436	0.006901323
0.277	1.414177118	0.397405776	0.083900426	0.006700992
0.278	1.402236114	0.392108705	0.082280316	0.006506476
0.279	1.390395937	0.38688224	0.08069149	0.006317607
0.28	1.378655737	0.381725438	0.079133345	0.00613422
0.281	1.367014668	0.376637372	0.077605287	0.005956156
0.282	1.355471893	0.371617126	0.076106735	0.005783261
0.283	1.344026583	0.366663795	0.074637121	0.005615385
0.284	1.332677915	0.361776488	0.073195885	0.005452382
0.285	1.321425073	0.356954324	0.071782478	0.005294111
0.286	1.310267247	0.352196435	0.070396365	0.005140434
0.287	1.299203636	0.347501965	0.069037017	0.004991217
0.288	1.288233443	0.342870068	0.067703918	0.004846333
0.289	1.27735588	0.338299911	0.066396562	0.004705654
0.29	1.266570165	0.333790669	0.06511445	0.004569058
0.291	1.255875522	0.329341532	0.063857095	0.004436428
0.292	1.245271182	0.324951698	0.06262402	0.004307648
0.293	1.234756384	0.320620376	0.061414756	0.004182606
0.294	1.224330369	0.316346787	0.060228842	0.004061193
0.295	1.21399239	0.312130162	0.059065828	0.003943305
0.296	1.203741703	0.30796974	0.057925272	0.003828839
0.297	1.19357757	0.303864773	0.05680674	0.003717696
0.298	1.18349926	0.299814522	0.055709807	0.003609779
0.299	1.17350605	0.295818257	0.054634056	0.003504995
0.3	1.16359722	0.291875258	0.053579077	0.003403252
0.301	1.153772059	0.287984817	0.052544469	0.003304462
0.302	1.144029858	0.284146231	0.05152984	0.003208541
0.303	1.134369919	0.280358811	0.050534803	0.003115403
0.304	1.124791546	0.276621873	0.049558981	0.00302497
0.305	1.115294051	0.272934746	0.048602001	0.002937161
0.306	1.105876751	0.269296765	0.047663501	0.002851901
0.307	1.096538968	0.265707275	0.046743123	0.002769117
0.308	1.087280032	0.262165629	0.045840517	0.002688735
0.309	1.078099276	0.258671191	0.044955341	0.002610687
0.31	1.06899604	0.255223331	0.044087257	0.002534904
0.311	1.05996967	0.251821427	0.043235936	0.002461321
0.312	1.051019517	0.248464868	0.042401054	0.002389874
0.313	1.042144937	0.245153049	0.041582293	0.002320501
0.314	1.033345292	0.241885374	0.040779342	0.002253141
0.315	1.024619949	0.238661253	0.039991897	0.002187737
0.316	1.015968281	0.235480108	0.039219657	0.002124232
0.317	1.007389666	0.232341364	0.038462329	0.00206257
0.318	0.998883487	0.229244457	0.037719624	0.002002698
0.319	0.990449132	0.226188829	0.036991262	0.001944563
0.32	0.982085995	0.22317393	0.036276964	0.001888117
0.321	0.973793475	0.220199217	0.035576459	0.001833309
0.322	0.965570975	0.217264155	0.03488948	0.001780091
0.323	0.957417903	0.214368214	0.034215767	0.001728419
0.324	0.949333675	0.211510873	0.033555064	0.001678247
0.325	0.941317708	0.208691618	0.032907118	0.001629531
0.326	0.933369426	0.205909942	0.032271685	0.001582229
0.327	0.925488258	0.203165343	0.031648521	0.0015363
0.328	0.917673636	0.200457327	0.031037391	0.001491704
0.329	0.909925	0.197785406	0.030438062	0.001448403
0.33	0.902241791	0.1951491	0.029850306	0.001406359
0.331	0.894623458	0.192547933	0.029273899	0.001365535
0.332	0.887069452	0.189981438	0.028708622	0.001325897
0.333	0.879579231	0.187449152	0.028154261	0.001287409
0.334	0.872152255	0.184950618	0.027610605	0.001250038
0.335	0.864787991	0.182485389	0.027077446	0.001213752
0.336	0.857485909	0.180053018	0.026554583	0.001178519
0.337	0.850245485	0.177653069	0.026041817	0.001144309
0.338	0.843066197	0.175285109	0.025538951	0.001111092
0.339	0.83594753	0.172948712	0.025045796	0.00107884
0.34	0.828888971	0.170643457	0.024562164	0.001047523
0.341	0.821890012	0.16836893	0.024087871	0.001017116
0.342	0.814950152	0.166124719	0.023622736	0.000987591
0.343	0.80806889	0.163910422	0.023166583	0.000958923
0.344	0.801245732	0.16172564	0.022719239	0.000931088
0.345	0.794480188	0.159569979	0.022280532	0.00090406
0.346	0.78777177	0.157443051	0.021850297	0.000877817
0.347	0.781119997	0.155344473	0.02142837	0.000852336
0.348	0.774524389	0.153273867	0.02101459	0.000827594
0.349	0.767984474	0.15123086	0.0206088	0.000803571
0.35	0.76149978	0.149215085	0.020210846	0.000780245
0.351	0.755069842	0.147226179	0.019820576	0.000757596
0.352	0.748694196	0.145263783	0.019437842	0.000735605
0.353	0.742372385	0.143327544	0.019062499	0.000714252
0.354	0.736103954	0.141417113	0.018694404	0.000693518
0.355	0.729888453	0.139532147	0.018333417	0.000673387
0.356	0.723725434	0.137672306	0.0179794	0.00065384
0.357	0.717614453	0.135837254	0.017632219	0.00063486
0.358	0.711555073	0.134026663	0.017291743	0.000616432
0.359	0.705546857	0.132240205	0.016957841	0.000598538
0.36	0.699589373	0.130477559	0.016630386	0.000581164
0.361	0.693682192	0.128738407	0.016309255	0.000564294
0.362	0.687824891	0.127022437	0.015994325	0.000547913
0.363	0.682017047	0.125329339	0.015685476	0.000532009
0.364	0.676258244	0.123658809	0.01538259	0.000516565
0.365	0.670548066	0.122010545	0.015085554	0.000501571
0.366	0.664886104	0.120384251	0.014794253	0.000487011
0.367	0.659271951	0.118779635	0.014508577	0.000472874
0.368	0.653705202	0.117196406	0.014228418	0.000459148
0.369	0.648185457	0.115634281	0.013953669	0.000445819
0.37	0.64271232	0.114092977	0.013684224	0.000432878
0.371	0.637285397	0.112572217	0.013419983	0.000420313
0.372	0.631904298	0.111071728	0.013160844	0.000408112
0.373	0.626568636	0.109591239	0.01290671	0.000396265
0.374	0.621278027	0.108130484	0.012657482	0.000384762
0.375	0.61603209	0.1066892	0.012413067	0.000373594
0.376	0.610830449	0.105267126	0.012173372	0.000362749
0.377	0.60567273	0.103864007	0.011938305	0.000352219
0.378	0.600558561	0.102479591	0.011707778	0.000341995
0.379	0.595487575	0.101113628	0.011481702	0.000332068
0.38	0.590459408	0.099765872	0.011259991	0.000322428
0.381	0.585473697	0.09843608	0.011042561	0.000313069
0.382	0.580530084	0.097124013	0.010829331	0.000303981
0.383	0.575628215	0.095829435	0.010620217	0.000295157
0.384	0.570767735	0.094552113	0.010415142	0.000286589
0.385	0.565948297	0.093291816	0.010214026	0.00027827
0.386	0.561169553	0.092048318	0.010016794	0.000270193
0.387	0.556431159	0.090821394	0.009823371	0.00026235
0.388	0.551732775	0.089610825	0.009633682	0.000254734
0.389	0.547074064	0.088416391	0.009447657	0.00024734
0.39	0.542454689	0.087237878	0.009265223	0.00024016
0.391	0.53787432	0.086075073	0.009086313	0.000233189
0.392	0.533332626	0.084927768	0.008910857	0.00022642
0.393	0.528829282	0.083795755	0.008738789	0.000219847
0.394	0.524363962	0.082678831	0.008570044	0.000213465
0.395	0.519936347	0.081576795	0.008404557	0.000207269
