t	w	U	I	alpha
0.275	9.668775666	9.99	0.408215562	3.696964256
0.276	9.67278047	9.99	0.402774406	3.715902872
0.277	9.676731892	9.99	0.397405776	3.734849278
0.278	9.680630646	9.99	0.392108705	3.753803371
0.279	9.684477433	9.99	0.38688224	3.772765047
0.28	9.688272946	9.99	0.381725438	3.791734207
0.281	9.692017868	9.99	0.376637372	3.81071075
0.282	9.695712873	9.99	0.371617126	3.829694577
0.283	9.699358627	9.99	0.366663795	3.848685593
0.284	9.702955786	9.99	0.361776488	3.8676837
0.285	9.706504999	9.99	0.356954324	3.886688805
0.286	9.710006903	9.99	0.352196435	3.905700814
0.287	9.71346213	9.99	0.347501965	3.924719635
0.288	9.716871302	9.99	0.342870068	3.943745177
0.289	9.720235033	9.99	0.338299911	3.962777351
0.29	9.723553928	9.99	0.333790669	3.981816068
0.291	9.726828585	9.99	0.329341532	4.000861242
0.292	9.730059594	9.99	0.324951698	4.019912785
0.293	9.733247536	9.99	0.320620376	4.038970613
0.294	9.736392986	9.99	0.316346787	4.058034643
0.295	9.73949651	9.99	0.312130162	4.077104792
0.296	9.742558666	9.99	0.30796974	4.096180978
0.297	9.745580007	9.99	0.303864773	4.11526312
0.298	9.748561076	9.99	0.299814522	4.13435114
0.299	9.75150241	9.99	0.295818257	4.153444958
0.3	9.754404538	9.99	0.291875258	4.172544498
0.301	9.757267984	9.99	0.287984817	4.191649684
0.302	9.760093262	9.99	0.284146231	4.21076044
0.303	9.762880882	9.99	0.280358811	4.229876691
0.304	9.765631345	9.99	0.276621873	4.248998365
0.305	9.768345147	9.99	0.272934746	4.26812539
0.306	9.771022776	9.99	0.269296765	4.287257693
0.307	9.773664715	9.99	0.265707275	4.306395206
0.308	9.77627144	9.99	0.262165629	4.325537857
0.309	9.778843419	9.99	0.258671191	4.344685579
0.31	9.781381115	9.99	0.255223331	4.363838305
0.311	9.783884987	9.99	0.251821427	4.382995967
0.312	9.786355484	9.99	0.248464868	4.402158499
0.313	9.788793051	9.99	0.245153049	4.421325837
0.314	9.791198128	9.99	0.241885374	4.440497917
