t	w1	w2	w3	w4
0.348	9.38407418	9.856418031	9.954267617	9.968674004
0.349	9.389015115	9.857921726	9.954556554	9.968690166
0.35	9.39391433	9.859405378	9.954839912	9.968705858
0.351	9.398772176	9.860869254	9.955117798	9.968721095
0.352	9.403589005	9.862313618	9.955390318	9.96873589
0.353	9.408365161	9.86373873	9.955657576	9.968750256
0.354	9.413100988	9.865144847	9.955919674	9.968764204
0.355	9.417796827	9.866532221	9.95617671	9.968777747
0.356	9.422453015	9.867901103	9.956428782	9.968790898
0.357	9.427069887	9.869251738	9.956675988	9.968803666
0.358	9.431647776	9.870584371	9.956918419	9.968816064
0.359	9.43618701	9.871899241	9.95715617	9.968828102
0.36	9.440687915	9.873196586	9.957389329	9.968839791
0.361	9.445150816	9.874476637	9.957617987	9.96885114
0.362	9.449576033	9.875739627	9.957842228	9.96886216
0.363	9.453963885	9.876985782	9.95806214	9.96887286
0.364	9.458314686	9.878215327	9.958277805	9.968883249
0.365	9.46262875	9.879428483	9.958489306	9.968893337
0.366	9.466906387	9.880625469	9.958696723	9.968903132
0.367	9.471147905	9.8818065	9.958900134	9.968912643
0.368	9.475353609	9.882971789	9.959099618	9.968921877
0.369	9.4795238	9.884121545	9.95929525	9.968930844
0.37	9.483658779	9.885255977	9.959487104	9.96893955
0.371	9.487758843	9.886375287	9.959675253	9.968948003
0.372	9.491824287	9.887479678	9.959859769	9.968956211
0.373	9.495855404	9.888569349	9.960040722	9.968964181
0.374	9.499852482	9.889644495	9.960218181	9.96897192
0.375	9.50381581	9.89070531	9.960392214	9.968979434
0.376	9.507745673	9.891751986	9.960562885	9.968986729
0.377	9.511642353	9.89278471	9.960730262	9.968993813
0.378	9.51550613	9.893803669	9.960894406	9.969000692
0.379	9.519337282	9.894809046	9.96105538	9.96900737
0.38	9.523136085	9.895801023	9.961213246	9.969013855
0.381	9.526902811	9.896779777	9.961368064	9.969020152
0.382	9.530637732	9.897745485	9.961519892	9.969026266
0.383	9.534341116	9.898698321	9.961668788	9.969032202
0.384	9.53801323	9.899638457	9.96181481	9.969037966
0.385	9.541654337	9.900566062	9.961958011	9.969043563
0.386	9.545264699	9.901481302	9.962098447	9.969048997
0.387	9.548844577	9.902384343	9.962236172	9.969054273
0.388	9.552394226	9.903275348	9.962371237	9.969059397
0.389	9.555913903	9.904154476	9.962503694	9.969064371
0.39	9.559403861	9.905021886	9.962633593	9.969069201
0.391	9.56286435	9.905877734	9.962760984	9.969073891
0.392	9.56629562	9.906722174	9.962885915	9.969078445
0.393	9.569697916	9.907555359	9.963008434	9.969082867
0.394	9.573071485	9.908377438	9.963128586	9.96908716
0.395	9.576416568	9.90918856	9.963246419	9.969091329
0.396	9.579733405	9.90998887	9.963361976	9.969095376
0.397	9.583022236	9.910778513	9.963475302	9.969099307
0.398	9.586283297	9.91155763	9.96358644	9.969103123
0.399	9.589516822	9.912326362	9.963695431	9.969106828
0.4	9.592723044	9.913084848	9.963802318	9.969110426
0.401	9.595902194	9.913833224	9.963907141	9.969113919
0.402	9.599054499	9.914571625	9.96400994	9.969117311
0.403	9.602180187	9.915300184	9.964110754	9.969120604
0.404	9.605279482	9.916019031	9.964209621	9.969123802
0.405	9.608352607	9.916728297	9.964306579	9.969126907
0.406	9.611399784	9.917428109	9.964401664	9.969129922
0.407	9.614421231	9.918118593	9.964494914	9.96913285
0.408	9.617417166	9.918799874	9.964586363	9.969135692
0.409	9.620387803	9.919472073	9.964676046	9.969138452
0.41	9.623333357	9.920135313	9.964763997	9.969141132
0.411	9.62625404	9.920789713	9.96485025	9.969143734
