t	alpha1	alpha2	alpha3	alpha4
0.439	4.872300887	5.508807233	5.869580609	6.138450334
0.44	4.887677837	5.524567743	5.88539139	6.15426526
0.441	4.903058485	5.540328979	5.901202252	6.170080187
0.442	4.918442801	5.556090931	5.917013194	6.185895117
0.443	4.933830753	5.571853591	5.932824214	6.201710048
0.444	4.949222311	5.587616948	5.948635311	6.217524981
0.445	4.964617445	5.603380993	5.964446482	6.233339915
0.446	4.980016123	5.619145717	5.980257728	6.249154851
0.447	4.995418317	5.634911111	5.996069046	6.264969789
0.448	5.010823997	5.650677167	6.011880435	6.280784728
0.449	5.026233133	5.666443874	6.027691893	6.296599669
0.45	5.041645695	5.682211226	6.04350342	6.312414611
0.451	5.057061656	5.697979212	6.059315013	6.328229554
0.452	5.072480986	5.713747824	6.075126672	6.344044499
0.453	5.087903657	5.729517055	6.090938396	6.359859445
0.454	5.10332964	5.745286896	6.106750182	6.375674393
0.455	5.118758908	5.761057339	6.12256203	6.391489341
0.456	5.134191433	5.776828375	6.138373939	6.407304291
0.457	5.149627188	5.792599997	6.154185908	6.423119242
0.458	5.165066144	5.808372197	6.169997935	6.438934194
0.459	5.180508276	5.824144968	6.185810019	6.454749148
0.46	5.195953557	5.839918301	6.201622159	6.470564102
0.461	5.211401958	5.85569219	6.217434354	6.486379058
0.462	5.226853456	5.871466626	6.233246603	6.502194014
0.463	5.242308022	5.887241603	6.249058905	6.518008971
0.464	5.257765632	5.903017114	6.264871259	6.53382393
0.465	5.27322626	5.91879315	6.280683664	6.549638889
0.466	5.28868988	5.934569706	6.296496119	6.565453849
0.467	5.304156466	5.950346774	6.312308623	6.58126881
0.468	5.319625995	5.966124348	6.328121175	6.597083772
0.469	5.33509844	5.98190242	6.343933774	6.612898735
0.47	5.350573778	5.997680985	6.359746419	6.628713698
0.471	5.366051984	6.013460034	6.375559109	6.644528662
0.472	5.381533033	6.029239563	6.391371844	6.660343627
0.473	5.397016903	6.045019565	6.407184622	6.676158593
0.474	5.412503568	6.060800033	6.422997443	6.69197356
0.475	5.427993005	6.076580961	6.438810306	6.707788527
0.476	5.443485192	6.092362343	6.45462321	6.723603494
0.477	5.458980104	6.108144173	6.470436154	6.739418463
0.478	5.474477719	6.123926446	6.486249138	6.755233432
0.479	5.489978013	6.139709154	6.50206216	6.771048402
0.48	5.505480965	6.155492292	6.517875221	6.786863372
