t	w1	w2	w3	w4
0.244	6.901961657	7.692330009	7.978499045	8.065297763
0.245	6.911872783	7.697440523	7.980376753	8.065600869
0.246	6.921700222	7.702482919	7.982218202	8.065895176
0.247	6.93144468	7.707458105	7.984024093	8.066180941
0.248	6.941106857	7.712366975	7.985795112	8.06645841
0.249	6.95068745	7.717210415	7.987531933	8.066727825
0.25	6.960187146	7.721989295	7.989235217	8.06698942
0.251	6.969606628	7.726704478	7.99090561	8.067243421
0.252	6.978946575	7.731356811	7.992543748	8.067490049
0.253	6.988207657	7.735947132	7.994150253	8.067729517
0.254	6.99739054	7.740476269	7.995725737	8.067962035
0.255	7.006495885	7.744945036	7.997270799	8.068187803
0.256	7.015524347	7.749354239	7.998786025	8.068407017
0.257	7.024476574	7.75370467	8.000271993	8.068619868
0.258	7.033353211	7.757997115	8.001729267	8.06882654
0.259	7.042154895	7.762232344	8.003158401	8.069027213
0.26	7.05088226	7.766411122	8.004559939	8.069222061
0.261	7.059535933	7.7705342	8.005934413	8.069411253
0.262	7.068116536	7.774602322	8.007282346	8.069594953
0.263	7.076624686	7.778616218	8.00860425	8.069773321
0.264	7.085060995	7.782576614	8.009900629	8.069946511
0.265	7.09342607	7.78648422	8.011171974	8.070114674
0.266	7.101720512	7.790339742	8.012418771	8.070277955
0.267	7.109944918	7.794143872	8.013641491	8.070436497
0.268	7.118099878	7.797897297	8.014840601	8.070590436
0.269	7.12618598	7.801600693	8.016016556	8.070739907
0.27	7.134203805	7.805254725	8.017169804	8.070885039
0.271	7.142153928	7.808860052	8.018300783	8.071025958
0.272	7.150036923	7.812417323	8.019409922	8.071162787
0.273	7.157853355	7.815927179	8.020497644	8.071295643
0.274	7.165603787	7.819390252	8.021564362	8.071424644
0.275	7.173288777	7.822807165	8.022610483	8.071549899
0.276	7.180908875	7.826178533	8.023636402	8.071671519
0.277	7.188464632	7.829504964	8.024642511	8.071789608
0.278	7.195956589	7.832787057	8.025629192	8.071904269
0.279	7.203385286	7.836025402	8.026596821	8.072015602
0.28	7.210751256	7.839220583	8.027545765	8.072123704
0.281	7.21805503	7.842373175	8.028476384	8.072228667
0.282	7.225297132	7.845483746	8.029389034	8.072330583
0.283	7.232478083	7.848552855	8.03028406	8.072429541
0.284	7.239598401	7.851581056	8.031161803	8.072525627
0.285	7.246658595	7.854568894	8.032022598	8.072618923
0.286	7.253659175	7.857516906	8.03286677	8.072709511
0.287	7.260600644	7.860425624	8.033694642	8.07279747
0.288	7.2674835	7.863295572	8.034506527	8.072882875
0.289	7.274308239	7.866127265	8.035302735	8.072965801
0.29	7.281075352	7.868921215	8.036083568	8.07304632
0.291	7.287785324	7.871677923	8.036849324	8.073124502
0.292	7.294438639	7.874397887	8.037600292	8.073200414
0.293	7.301035775	7.877081597	8.03833676	8.073274122
0.294	7.307577205	7.879729534	8.039059006	8.073345691
0.295	7.314063402	7.882342178	8.039767306	8.073415183
0.296	7.32049483	7.884919996	8.040461929	8.073482657
0.297	7.326871953	7.887463455	8.041143139	8.073548173
0.298	7.333195229	7.889973012	8.041811194	8.073611787
0.299	7.339465113	7.892449119	8.04246635	8.073673554
0.3	7.345682054	7.894892221	8.043108854	8.073733529
0.301	7.351846502	7.897302759	8.043738952	8.073791762
0.302	7.357958898	7.899681166	8.044356883	8.073848305
0.303	7.364019683	7.902027871	8.044962881	8.073903207
0.304	7.370029291	7.904343297	8.045557178	8.073956515
0.305	7.375988156	7.90662786	8.046139998	8.074008275
0.306	7.381896705	7.908881972	8.046711565	8.074058533
0.307	7.387755364	7.911106039	8.047272095	8.074107332
0.308	7.393564553	7.913300461	8.047821801	8.074154715
0.309	7.399324691	7.915465633	8.048360892	8.074200722
0.31	7.405036192	7.917601945	8.048889573	8.074245394
0.311	7.410699466	7.919709782	8.049408046	8.074288769
0.312	7.416314921	7.921789524	8.049916507	8.074330885
0.313	7.42188296	7.923841544	8.050415149	8.074371778
0.314	7.427403983	7.925866213	8.050904163	8.074411485
0.315	7.432878388	7.927863894	8.051383734	8.074450038
0.316	7.438306569	7.929834948	8.051854045	8.074487473
0.317	7.443688915	7.93177973	8.052315274	8.074523821
0.318	7.449025814	7.93369859	8.052767596	8.074559114
0.319	7.454317649	7.935591873	8.053211184	8.074593382
0.32	7.459564801	7.93745992	8.053646207	8.074626656
0.321	7.464767648	7.939303068	8.054072829	8.074658964
0.322	7.469926562	7.941121648	8.054491214	8.074690334
0.323	7.475041916	7.942915988	8.054901519	8.074720793
0.324	7.480114077	7.944686411	8.055303901	8.074750368
0.325	7.48514341	7.946433236	8.055698514	8.074779085
0.326	7.490130276	7.948156777	8.056085506	8.074806968
0.327	7.495075034	7.949857345	8.056465026	8.074834042
0.328	7.499978039	7.951535245	8.056837217	8.074860329
0.329	7.504839645	7.953190781	8.057202222	8.074885854
0.33	7.509660201	7.95482425	8.057560178	8.074910638
0.331	7.514440052	7.956435947	8.057911222	8.074934702
0.332	7.519179544	7.958026161	8.058255487	8.074958068
0.333	7.523879016	7.959595178	8.058593105	8.074980756
0.334	7.528538807	7.961143282	8.058924203	8.075002785
0.335	7.533159252	7.962670751	8.059248907	8.075024174
0.336	7.537740683	7.964177861	8.059567342	8.075044943
0.337	7.542283429	7.965664882	8.059879628	8.075065108
0.338	7.546787817	7.967132082	8.060185883	8.075084689
0.339	7.551254171	7.968579726	8.060486225	8.075103701
0.34	7.555682813	7.970008073	8.060780767	8.075122161
0.341	7.560074059	7.971417383	8.061069622	8.075140085
0.342	7.564428227	7.972807907	8.061352899	8.075157489
0.343	7.56874563	7.974179897	8.061630706	8.075174388
0.344	7.573026577	7.9755336	8.061903148	8.075190796
0.345	7.577271377	7.976869258	8.06217033	8.075206728
0.346	7.581480334	7.978187114	8.062432352	8.075222198
0.347	7.585653752	7.979487404	8.062689315	8.075237218
0.348	7.589791931	7.980770362	8.062941315	8.075251803
0.349	7.593895168	7.982036219	8.06318845	8.075265964
0.35	7.597963758	7.983285204	8.063430813	8.075279714
0.351	7.601997993	7.984517541	8.063668495	8.075293064
0.352	7.605998165	7.985733451	8.063901588	8.075306028
0.353	7.609964559	7.986933155	8.06413018	8.075318615
0.354	7.613897463	7.988116868	8.064354358	8.075330836
0.355	7.617797158	7.989284803	8.064574207	8.075342703
0.356	7.621663924	7.99043717	8.06478981	8.075354226
0.357	7.625498041	7.991574177	8.065001251	8.075365414
0.358	7.629299783	7.992696029	8.065208608	8.075376277
0.359	7.633069424	7.993802928	8.065411961	8.075386825
0.36	7.636807235	7.994895073	8.065611388	8.075397066
0.361	7.640513485	7.99597266	8.065806964	8.075407011
0.362	7.64418844	7.997035884	8.065998763	8.075416666
0.363	7.647832364	7.998084936	8.066186859	8.075426042
0.364	7.65144552	7.999120006	8.066371322	8.075435145
0.365	7.655028168	8.000141278	8.066552224	8.075443984
0.366	7.658580564	8.001148938	8.066729632	8.075452566
0.367	7.662102964	8.002143167	8.066903615	8.0754609
0.368	7.665595623	8.003124144	8.067074237	8.075468991
0.369	7.669058789	8.004092045	8.067241566	8.075476848
0.37	7.672492714	8.005047045	8.067405663	8.075484476
